Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:56,05:52,-3,04:04,1st Half,4.066666666666666,-0.74,-18.5,LASELL_WBB2
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",05:52,02:36,-5,03:16,1st Half,3.2666666666666666,-1.53,-38.25,LASELL_WBB2
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY', 'URIBE,TALIA')",02:36,00:43,-2,01:53,1st Half,1.8833333333333333,-1.06,-26.5,LASELL_WBB2
"('GORSKI,JENNY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",00:43,10:00,1,09:17,2nd Half,9.283333333333333,0.11,2.75,LASELL_WBB2
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",10:00,09:09,-3,00:51,2nd Half,0.85,-3.53,-88.25,LASELL_WBB2
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:09,08:14,0,00:55,2nd Half,0.9166666666666666,0.0,0.0,LASELL_WBB2
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",08:14,07:30,2,00:44,2nd Half,0.7333333333333333,2.73,68.25,LASELL_WBB2
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",07:30,05:35,3,01:55,2nd Half,1.9166666666666665,1.57,39.25,LASELL_WBB2
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",05:35,02:16,6,03:19,2nd Half,3.3166666666666664,1.81,45.25,LASELL_WBB2
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",02:16,02:09,-1,00:07,2nd Half,0.11666666666666667,-8.57,-214.25,LASELL_WBB2
"('GORSKI,JENNY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER')",02:09,10:00,-1,07:51,2nd Half,7.85,-0.13,-3.25,LASELL_WBB2
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",10:00,08:31,3,01:29,2nd Half,1.4833333333333334,2.02,50.5,LASELL_WBB2
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",08:31,06:24,-3,02:07,2nd Half,2.1166666666666667,-1.42,-35.5,LASELL_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",06:24,05:38,-1,00:46,2nd Half,0.7666666666666667,-1.3,-32.5,LASELL_WBB2
"('GORSKI,JENNY', 'ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'JOHNSTON,RAHMIA')",05:38,08:41,8,03:03,2nd Half,3.05,2.62,65.5,LASELL_WBB2
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",08:41,08:04,2,00:37,2nd Half,0.6166666666666667,3.24,81.0,LASELL_WBB2
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",08:04,05:52,-5,02:12,2nd Half,2.2,-2.27,-56.75,LASELL_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",05:52,05:20,0,00:32,2nd Half,0.5333333333333333,0.0,0.0,LASELL_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",05:20,00:08,5,05:12,2nd Half,5.2,0.96,24.0,LASELL_WBB2
