Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",09:48,06:00,0,03:48,1st Half,3.8,0.0,0.0,MITCHELL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",06:00,05:31,0,00:29,1st Half,0.48333333333333334,0.0,0.0,MITCHELL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA', 'GRAHAM,PIPER')",05:31,04:34,0,00:57,1st Half,0.95,0.0,0.0,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA')",04:34,03:07,2,01:27,1st Half,1.45,1.38,34.5,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",03:07,02:23,-1,00:44,1st Half,0.7333333333333333,-1.36,-34.0,MITCHELL_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",02:23,01:07,2,01:16,1st Half,1.2666666666666666,1.58,39.5,MITCHELL_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",01:07,09:50,0,08:43,2nd Half,8.716666666666667,0.0,0.0,MITCHELL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",09:50,09:50,0,00:00,2nd Half,0.0,,,MITCHELL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",09:50,07:43,5,02:07,2nd Half,2.1166666666666667,2.36,59.0,MITCHELL_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'BARRON,SHEA')",07:43,06:43,-3,01:00,2nd Half,1.0,-3.0,-75.0,MITCHELL_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",06:43,06:23,0,00:20,2nd Half,0.3333333333333333,0.0,0.0,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA', 'GRAHAM,PIPER')",06:23,04:29,2,01:54,2nd Half,1.9,1.05,26.25,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER')",04:29,03:39,-2,00:50,2nd Half,0.8333333333333334,-2.4,-60.0,MITCHELL_WBB
