Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",-37.5,-1.5,02:40,USJ CT
"('JOHNSTON,RAHMIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",0.0,0.0,00:09,USJ CT
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",-122.0,-4.88,01:26,USJ CT
"('GORSKI,JENNY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE')",0.0,0.0,02:08,USJ CT
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'TURCO,MARY')",-12.75,-0.51,01:57,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",0.0,0.0,00:11,USJ CT
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER')",0.0,0.0,08:37,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",29.75,1.19,01:41,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",-120.0,-4.8,00:50,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'BARRON,SHEA')",-21.0,-0.84,02:23,USJ CT
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'BARRON,SHEA')",-139.5,-5.58,00:43,USJ CT
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA')",-19.0,-0.76,01:19,USJ CT
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA')",0.0,0.0,00:03,USJ CT
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",-103.5,-4.14,00:58,USJ CT
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",0.0,0.0,00:20,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'GRAHAM,PIPER')",-17.75,-0.71,08:28,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",28.0,1.12,03:35,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA')",0.0,0.0,03:02,USJ CT
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'BARRON,SHEA')",-85.75,-3.43,00:35,USJ CT
"('GORSKI,JENNY', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'GRAHAM,PIPER')",10.25,0.41,07:15,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'GRAHAM,PIPER')",-53.25,-2.13,02:21,USJ CT
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA')",-40.75,-1.63,02:27,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'TURCO,MARY')",91.0,3.64,00:33,USJ CT
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",-36.25,-1.45,01:23,USJ CT
"('JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER')",-93.75,-3.75,00:48,USJ CT
"('JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER')",0.0,0.0,01:21,USJ CT
"('MILDNER,STEPHANIE', 'SMITH,HEAVEN', 'LEBEL,KELLY', 'GUERRIER,PHONIA', 'PACHECO,MIA')",-24.5,-0.98,01:01,USJ CT
