Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",36.0,1.44,02:47,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",0.0,0.0,00:21,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA')",0.0,0.0,00:54,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'BARRON,SHEA')",0.0,0.0,01:08,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'ANDRADE,SOPHIA')",-21.5,-0.86,01:10,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",-15.25,-0.61,01:39,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'BARRON,SHEA')",0.0,0.0,00:22,NEC_WBB
"('JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'TURCO,MARY', 'GORSKI,JENNY', 'BARRON,SHEA')",-3.0,-0.12,08:19,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'GORSKI,JENNY')",-88.25,-3.53,01:08,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GORSKI,JENNY', 'ANDRADE,SOPHIA')",-37.0,-1.48,01:21,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'GORSKI,JENNY')",-17.75,-0.71,01:25,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'MILDNER,STEPHANIE')",-19.75,-0.79,02:31,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",0.0,0.0,00:10,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",91.0,3.64,00:33,NEC_WBB
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",86.5,3.46,00:52,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",0.0,0.0,00:52,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY')",-5.5,-0.22,09:02,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",-8.5,-0.34,02:59,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,01:44,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,01:25,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,00:15,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA')",16.5,0.66,03:01,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-166.75,-6.67,00:27,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",21.0,0.84,07:07,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA')",-78.0,-3.12,01:36,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA')",-111.0,-4.44,00:54,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",79.0,3.16,00:57,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'GORSKI,JENNY')",9.5,0.38,02:37,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA')",-100.0,-4.0,00:45,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA')",-57.75,-2.31,00:26,NEC_WBB
