Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",09:54,05:45,-7,04:09,1st Half,4.15,-1.69,-42.25,WPI
"('LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",05:45,04:39,2,01:06,1st Half,1.1,1.82,45.5,WPI
"('LEWIS,JADE', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",04:39,03:12,0,01:27,1st Half,1.45,0.0,0.0,WPI
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'GORSKI,JENNY')",03:12,01:54,0,01:18,1st Half,1.3,0.0,0.0,WPI
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",01:54,08:40,-2,06:46,2nd Half,6.766666666666667,-0.3,-7.5,WPI
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",08:40,07:22,1,01:18,2nd Half,1.3,0.77,19.25,WPI
"('LEWIS,JADE', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'BARRON,SHEA')",07:22,04:25,4,02:57,2nd Half,2.95,1.36,34.0,WPI
"('LEWIS,JADE', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",04:25,02:32,2,01:53,2nd Half,1.8833333333333333,1.06,26.5,WPI
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",02:32,01:58,-3,00:34,2nd Half,0.5666666666666667,-5.29,-132.25,WPI
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",01:58,01:11,0,00:47,2nd Half,0.7833333333333333,0.0,0.0,WPI
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",01:11,00:57,0,00:14,2nd Half,0.23333333333333334,0.0,0.0,WPI
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",00:57,10:00,5,09:03,2nd Half,9.05,0.55,13.75,WPI
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",10:00,06:44,-6,03:16,2nd Half,3.2666666666666666,-1.84,-46.0,WPI
"('GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",06:44,03:51,-8,02:53,2nd Half,2.8833333333333333,-2.77,-69.25,WPI
"('GRAHAM,PIPER', 'BARRON,SHEA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",03:51,02:57,0,00:54,2nd Half,0.9,0.0,0.0,WPI
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",02:57,09:58,-1,07:01,2nd Half,7.016666666666667,-0.14,-3.5,WPI
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA')",09:58,06:55,-1,03:03,2nd Half,3.05,-0.33,-8.25,WPI
"('LEWIS,JADE', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",06:55,04:53,-4,02:02,2nd Half,2.033333333333333,-1.97,-49.25,WPI
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",04:53,00:10,-4,04:43,2nd Half,4.716666666666667,-0.85,-21.25,WPI
