Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",09:54,05:45,-7,04:09,1st Half,4.15,-1.69,-42.25,WPI
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'TURCO,MARY', 'LEWIS,JADE')",05:45,04:39,2,01:06,1st Half,1.1,1.82,45.5,WPI
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'URIBE,TALIA', 'LEWIS,JADE')",04:39,03:12,0,01:27,1st Half,1.45,0.0,0.0,WPI
"('GORSKI,JENNY', 'LEBEL,KELLY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",03:12,01:54,0,01:18,1st Half,1.3,0.0,0.0,WPI
"('JOHNSTON,RAHMIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",01:54,08:40,-2,06:46,2nd Half,6.766666666666667,-0.3,-7.5,WPI
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",08:40,07:22,1,01:18,2nd Half,1.3,0.77,19.25,WPI
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE')",07:22,04:25,4,02:57,2nd Half,2.95,1.36,34.0,WPI
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'URIBE,TALIA', 'LEWIS,JADE')",04:25,02:32,2,01:53,2nd Half,1.8833333333333333,1.06,26.5,WPI
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",02:32,01:58,-3,00:34,2nd Half,0.5666666666666667,-5.29,-132.25,WPI
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'GRAHAM,PIPER')",01:58,01:11,0,00:47,2nd Half,0.7833333333333333,0.0,0.0,WPI
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",01:11,00:57,0,00:14,2nd Half,0.23333333333333334,0.0,0.0,WPI
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'BARRON,SHEA', 'GRAHAM,PIPER')",00:57,10:00,5,09:03,2nd Half,9.05,0.55,13.75,WPI
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",10:00,06:44,-6,03:16,2nd Half,3.2666666666666666,-1.84,-46.0,WPI
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",06:44,03:51,-8,02:53,2nd Half,2.8833333333333333,-2.77,-69.25,WPI
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'GORSKI,JENNY', 'BARRON,SHEA', 'GRAHAM,PIPER')",03:51,02:57,0,00:54,2nd Half,0.9,0.0,0.0,WPI
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",02:57,09:58,-1,07:01,2nd Half,7.016666666666667,-0.14,-3.5,WPI
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'BARRON,SHEA', 'GRAHAM,PIPER')",09:58,06:55,-1,03:03,2nd Half,3.05,-0.33,-8.25,WPI
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'BARRON,SHEA')",06:55,04:53,-4,02:02,2nd Half,2.033333333333333,-1.97,-49.25,WPI
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY')",04:53,00:10,-4,04:43,2nd Half,4.716666666666667,-0.85,-21.25,WPI
