Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:46,07:14,0,02:32,1st Half,2.533333333333333,0.0,0.0,Emerson
"('GORSKI,JENNY', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",07:14,04:35,-6,02:39,1st Half,2.65,-2.26,-56.5,Emerson
"('GORSKI,JENNY', 'BARRON,SHEA', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",04:35,03:44,-2,00:51,1st Half,0.85,-2.35,-58.75,Emerson
"('GORSKI,JENNY', 'BARRON,SHEA', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",03:44,02:23,-3,01:21,1st Half,1.35,-2.22,-55.5,Emerson
"('GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",02:23,02:12,0,00:11,1st Half,0.18333333333333332,0.0,0.0,Emerson
"('TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",02:12,06:03,-3,03:51,2nd Half,3.85,-0.78,-19.5,Emerson
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",06:03,04:58,1,01:05,2nd Half,1.0833333333333333,0.92,23.0,Emerson
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",04:58,01:59,2,02:59,2nd Half,2.9833333333333334,0.67,16.75,Emerson
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",01:59,06:14,1,04:15,2nd Half,4.25,0.24,6.0,Emerson
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",06:14,05:29,-8,00:45,2nd Half,0.75,-10.67,-266.75,Emerson
"('TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",05:29,05:10,0,00:19,2nd Half,0.31666666666666665,0.0,0.0,Emerson
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",05:10,04:36,0,00:34,2nd Half,0.5666666666666667,0.0,0.0,Emerson
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",04:36,00:09,8,04:27,2nd Half,4.45,1.8,45.0,Emerson
