Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",09:52,07:05,4,02:47,1st Half,2.783333333333333,1.44,36.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",07:05,06:44,0,00:21,1st Half,0.35,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA')",06:44,05:50,0,00:54,1st Half,0.9,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'BARRON,SHEA')",05:50,04:42,0,01:08,1st Half,1.1333333333333333,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'ANDRADE,SOPHIA')",04:42,03:32,-1,01:10,1st Half,1.1666666666666667,-0.86,-21.5,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",03:32,01:53,-1,01:39,1st Half,1.65,-0.61,-15.25,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'BARRON,SHEA')",01:53,01:31,0,00:22,1st Half,0.36666666666666664,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'TURCO,MARY', 'GORSKI,JENNY', 'BARRON,SHEA')",01:31,09:50,-1,08:19,2nd Half,8.316666666666666,-0.12,-3.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'GORSKI,JENNY')",09:50,08:42,-4,01:08,2nd Half,1.1333333333333333,-3.53,-88.25,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GORSKI,JENNY', 'ANDRADE,SOPHIA')",08:42,07:21,-2,01:21,2nd Half,1.35,-1.48,-37.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'GORSKI,JENNY')",07:21,05:56,-1,01:25,2nd Half,1.4166666666666667,-0.71,-17.75,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'MILDNER,STEPHANIE')",05:56,03:25,-2,02:31,2nd Half,2.5166666666666666,-0.79,-19.75,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",03:25,03:15,0,00:10,2nd Half,0.16666666666666666,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",03:15,02:42,2,00:33,2nd Half,0.55,3.64,91.0,NEC_WBB
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",02:42,01:50,3,00:52,2nd Half,0.8666666666666667,3.46,86.5,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",01:50,00:58,0,00:52,2nd Half,0.8666666666666667,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY')",00:58,10:00,-2,09:02,2nd Half,9.033333333333333,-0.22,-5.5,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY')",10:00,07:01,-1,02:59,2nd Half,2.9833333333333334,-0.34,-8.5,NEC_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",07:01,05:17,0,01:44,2nd Half,1.7333333333333334,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",05:17,03:52,0,01:25,2nd Half,1.4166666666666667,0.0,0.0,NEC_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",03:52,03:37,0,00:15,2nd Half,0.25,0.0,0.0,NEC_WBB
