Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:50,05:28,-5,04:22,1st Half,4.366666666666666,-1.15,-28.75,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",05:28,05:03,0,00:25,1st Half,0.4166666666666667,0.0,0.0,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY')",05:03,04:24,1,00:39,1st Half,0.65,1.54,38.5,Salem State
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'LEBEL,KELLY')",04:24,01:11,0,03:13,1st Half,3.216666666666667,0.0,0.0,Salem State
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'LEBEL,KELLY')",01:11,01:11,0,00:00,1st Half,0.0,,,Salem State
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",01:11,00:35,0,00:36,1st Half,0.6,0.0,0.0,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY')",00:35,00:12,0,00:23,1st Half,0.38333333333333336,0.0,0.0,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY')",00:12,08:43,1,08:31,2nd Half,8.516666666666667,0.12,3.0,Salem State
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY')",08:43,06:48,-2,01:55,2nd Half,1.9166666666666665,-1.04,-26.0,Salem State
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",06:48,05:06,1,01:42,2nd Half,1.7,0.59,14.75,Salem State
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",05:06,04:33,0,00:33,2nd Half,0.55,0.0,0.0,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",04:33,01:52,0,02:41,2nd Half,2.6833333333333336,0.0,0.0,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",01:52,10:00,-4,08:08,2nd Half,8.133333333333333,-0.49,-12.25,Salem State
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",10:00,09:28,-1,00:32,2nd Half,0.5333333333333333,-1.88,-47.0,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:28,06:36,1,02:52,2nd Half,2.8666666666666667,0.35,8.75,Salem State
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'ANDRADE,SOPHIA')",06:36,07:39,-15,01:03,2nd Half,1.05,-14.29,-357.25,Salem State
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",07:39,05:57,-2,01:42,2nd Half,1.7,-1.18,-29.5,Salem State
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",05:57,00:01,2,05:56,2nd Half,5.933333333333334,0.34,8.5,Salem State
