Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:30,07:35,-4,01:55,1st Half,1.9166666666666665,-2.09,-52.25,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY')",07:35,07:07,0,00:28,1st Half,0.4666666666666667,0.0,0.0,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE')",07:07,06:54,-1,00:13,1st Half,0.21666666666666667,-4.62,-115.5,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY')",06:54,05:20,-5,01:34,1st Half,1.5666666666666667,-3.19,-79.75,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'ANDRADE,SOPHIA')",05:20,04:59,0,00:21,1st Half,0.35,0.0,0.0,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'ANDRADE,SOPHIA')",04:59,01:36,-11,03:23,1st Half,3.3833333333333333,-3.25,-81.25,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA', 'TURCO,MARY', 'ANDRADE,SOPHIA')",01:36,01:31,0,00:05,1st Half,0.08333333333333333,0.0,0.0,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GRAHAM,PIPER', 'TURCO,MARY', 'ANDRADE,SOPHIA')",01:31,00:34,3,00:57,1st Half,0.95,3.16,79.0,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY', 'ANDRADE,SOPHIA')",00:34,09:01,3,08:27,2nd Half,8.45,0.36,9.0,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'TURCO,MARY')",09:01,06:35,-5,02:26,2nd Half,2.4333333333333336,-2.05,-51.25,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'WASIEWICZ,GABBY', 'TURCO,MARY')",06:35,04:52,-4,01:43,2nd Half,1.7166666666666668,-2.33,-58.25,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'TURCO,MARY', 'ANDRADE,SOPHIA')",04:52,04:51,0,00:01,2nd Half,0.016666666666666666,0.0,0.0,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEBEL,KELLY')",04:51,03:54,-2,00:57,2nd Half,0.95,-2.11,-52.75,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'LEBEL,KELLY')",03:54,03:18,0,00:36,2nd Half,0.6,0.0,0.0,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'LEBEL,KELLY')",03:18,01:11,-4,02:07,2nd Half,2.1166666666666667,-1.89,-47.25,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'LEBEL,KELLY')",01:11,04:02,-12,02:51,2nd Half,2.85,-4.21,-105.25,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'ANDRADE,SOPHIA')",04:02,03:09,0,00:53,2nd Half,0.8833333333333333,0.0,0.0,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'TURCO,MARY')",03:09,02:35,0,00:34,2nd Half,0.5666666666666667,0.0,0.0,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'TURCO,MARY')",02:35,00:53,-3,01:42,2nd Half,1.7,-1.76,-44.0,JWU_PROVIDENCE_WBB2
"('URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE', 'ANDRADE,SOPHIA', 'TURCO,MARY')",00:53,09:51,1,08:58,2nd Half,8.966666666666667,0.11,2.75,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY')",09:51,07:11,-2,02:40,2nd Half,2.6666666666666665,-0.75,-18.75,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'ANDRADE,SOPHIA')",07:11,03:51,4,03:20,2nd Half,3.3333333333333335,1.2,30.0,JWU_PROVIDENCE_WBB2
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'ANDRADE,SOPHIA', 'LEBEL,KELLY')",03:51,01:29,2,02:22,2nd Half,2.3666666666666667,0.85,21.25,JWU_PROVIDENCE_WBB2
"('PACHECO,MIA', 'GUERRIER,PHONIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",01:29,01:12,0,00:17,2nd Half,0.2833333333333333,0.0,0.0,JWU_PROVIDENCE_WBB2
"('PACHECO,MIA', 'SMITH,HEAVEN', 'GUERRIER,PHONIA', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",01:12,00:19,-1,00:53,2nd Half,0.8833333333333333,-1.13,-28.25,JWU_PROVIDENCE_WBB2
